"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"RI",5711,5820,6578,6841,7380,6263,6346,5384,1915,4532,3826,3735,3898,4520,4403,4197,4347,5562,5079,5066,5181,4840,4585,4499,3806,3528,3302,4653,5081,4946,7401,6053,6649,7287,7124,6577,5295,4704,4050,5023,5108,4934,4851,5268,4428,4266,4150,3771,3561,3533,3221,3139,3011,2951
"SC",144752,131240,127315,125584,121753,106705,97704,100425,105436,97433,103797,80640,70576,92463,96968,129957,131984,131795,124701,114631,110225,110649,107667,106617,97884,83299,95973,89899,66598,80276,75407,69636,52308,71184,91528,83872,80884,83353,87805,79895,83883,77077,78568,65064,73251,69381,66176,67699,77346,87558,69832,73455,76284,81969
"SD",127714,145340,154573,130158,105828,81741,69248,71273,61421,60227,57210,52262,41075,63439,73106,63218,96328,87018,66895,57892,31197,41909,44067,44283,52289,59354,60201,64483,60186,64092,61830,60381,58639,63775,67819,72806,57133,74830,83960,60394,51534,78339,82558,70185,67419,59858,52576,51565,41595,33645,31784,17252,13609,13974
"TN",218272,176390,184987,171637,191346,149002,125736,150839,173789,179816,184192,148359,138832,120503,131838,158856,161832,175613,163370,186065,152078,168952,178555,165011,205997,150409,176511,156473,166411,203068,189453,184144,136647,160372,207250,163042,176225,160069,177299,180418,177886,173103,153090,138417,131914,132020,147297,128629,138006,141564,127030,145125,136653,138708
"TX",552157,517836,512066,451768,348439,346779,245483,189864,138964,123168,117444,123452,102049,101513,98743,115577,126384,112114,122113,115392,117754,136109,122321,117294,127599,111778,120707,113054,96300,88645,78066,80753,70516,65819,89721,84175,82566,75965,75872,76691,78102,67560,60471,62757,64351,62939,49944,51980,48967,43884,42718,47721,52023,50155
"UT",24730,27641,30919,22425,20314,17739,14162,15015,15758,10713,10520,11229,12128,16403,21238,20534,20403,17236,15541,13809,14643,12402,12556,10779,11681,11781,14264,23017,18721,21829,21168,16761,12388,13025,13634,12093,11709,14974,14074,12440,14683,15234,12615,10079,13957,12791,13266,10173,11501,10151,5699,6192,4591,5494
"VT",36072,28162,31707,32528,34196,28816,19003,27837,24494,22041,24054,22714,17341,21389,20800,20289,19949,21866,19166,19068,18237,16014,17309,19483,20018,21704,23132,23871,26890,26036,26554,22667,24825,22881,22340,20504,19373,19325,16361,16134,17149,15955,14594,14717,16109,15086,15167,15557,14396,13500,13995,15682,15369,17339
"VA",146949,130923,130563,136460,144829,140785,135638,133225,132441,117971,110947,82141,95664,117055,122836,126116,125998,139575,126212,123274,119116,110881,107615,105876,98721,80435,88065,86471,101913,103631,95982,93614,79270,85571,95181,86397,73803,76045,66861,66085,69214,70488,66364,62711,64159,63863,61774,64055,63439,63580,64267,67678,66456,69706
"WA",933087,1028805,1069332,829152,852604,896974,893319,936325,815047,819486,834731,893633,660961,911497,1084137,904701,1160958,1110163,944247,781394,797966,806672,1007902,1004702,855811,835500,850807,943085,917386,981713,1004891,1008174,1074536,951633,900631,1002202,773465,1051188,935362,926539,783243,854559,817275,796121,772827,736245,678045,617245,581530,557343,514264,476680,455762,428129
"WV",60000,50258,50356,48200,50834,33520,26792,28824,28724,20763,21237,16223,15165,17408,14810,16215,17599,22056,19567,18866,18684,18858,16400,18512,25599,29016,28499,31416,25050,25619,23389,25803,22023,23421,33875,27252,24320,24758,22798,23779,24229,24771,22281,21152,21430,21573,22471,20101,20560,21666,21029,23755,23666,23464
"WI",168986,163572,169544,170162,152901,159229,141103,140170,144896,108646,118277,110895,128442,115711,116305,110689,128394,128260,114218,108120,105839,110397,109959,103247,124137,157330,152928,161833,217863,215483,217664,195454,196641,187312,92876,90777,74518,69570,66067,65621,67818,65646,61793,58313,62804,65830,61003,60892,61690,54980,55114,61695,60619,64968
"WY",54466,54918,61346,45598,34967,22412,18888,19518,19272,14033,11635,12275,14656,15011,14158,15732,16280,14917,10974,12356,10749,9262,10779,9529,10475,11399,11118,16233,14999,17199,15780,12243,12125,14250,13906,12774,9937,12547,13226,16196,14024,13492,15331,12129,12992,11560,9641,11106,10793,10613,10641,11746,8273,8174
